,"Author: Ebbels, Timothy M D",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 18 (Of the 37 documents considered for the h-Index, 18 have been cited at least 18 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,414,167,174,341,158,913
2009,"Bioinformatic methods in NMR-based metabolic profiling","Ebbels T.M.D., Cavill R.",00796565,"Progress in Nuclear Magnetic Resonance Spectroscopy",, ,0,0,0,0,0,0
2009,"Cluster analysis statistical spectroscopy using nuclear magnetic resonance generated metabolic data sets from perturbed biological systems","Robinette S.L., Nicholson J.K., Veselkov K.A., Bohus E., Coen M., Keun H.C., Ebbels T.M.D., Beckonert O., Holmes E.C., Lindon J.C.",00032700,"Analytical Chemistry",81, 16,0,0,0,0,0,0
2009,"Statistical total correlation spectroscopy editing of 1H NMR spectra of biofluids: Application to drug metabolite profile identification and enhanced information recovery","Sands C.J., Coen M., Maher A.D., Ebbels T.M.D., Holmes E., Lindon J.C., Nicholson J.K.",00032700,"Analytical Chemistry",81, 15,0,0,0,0,0,0
2009,"Metabolic profiling and population screening of analgesic usage in nuclear magnetic resonance spectroscopy-based large-scale epidemiologic studies","Loo R.L., Nicholson J.K., Holmes E., Coen M., Ebbels T., Cloarec O., Maibaum E., Bictash M., Yap I., Elliott P., Stamler J.",00032700,"Analytical Chemistry",81, 13,0,0,0,0,0,0
2009,"Time-resolved metabolic footprinting for nonlinear modeling of Bacterial substrate utilization","Behrends V., Ebbels T.M.D., Williams H.D., Bundy J.G.",00992240,"Applied and Environmental Microbiology",75, 8,0,0,0,0,0,0
2009,"Analytic properties of statistical total correlation spectroscopy based information recovery in 1H NMR metabolic data sets","Alves A.C., Rantalainen M., Holmes E., Nicholson J.K., Ebbels T.M.D.",00032700,"Analytical Chemistry",81, 6,0,0,0,0,3,3
2009,"Validation of metabolomics for toxic mechanism of action screening with the earthworm Lumbricus rubellus","Guo Q., Bundy J.G., Sidhu J.K., Ebbels T.M.D., Rana F., Spurgeon D.J., Svendsen C., Sturzenbaum S.R., Kille P., Morgan A.J.",15733882,"Metabolomics",5, 1,0,0,0,0,1,1
2009,"Genetic algorithms for simultaneous variable and sample selection in metabonomics","Cavill R., Keun H.C., Holmes E., Lindon J.C., Nicholson J.K., Ebbels T.M.D.",13674803,"Bioinformatics",25, 1,0,0,0,0,0,0
2009,"Recursive segment-wise peak alignment of biological 1H NMR spectra for improved metabolic biomarker recovery","Veselkov K.A., Lindon J.C., Ebbels T.M.D., Crockford D., Volynkin V.V., Holmes E., Davies D.B., Nicholson J.K.",00032700,"Analytical Chemistry",81, 1,0,0,0,0,5,5
2008,"Temporal metabonomic modeling of L-arginine-lnduced exocrine pancreatitis","Bohus E., Coen M., Keun H.C., Ebbels T.M.D., Beckonert O., Lindon J.C., Holmes E., Noszal B., Nicholson J.K.",15353893,"Journal of Proteome Research",7, 10,0,0,0,0,1,1
2008,"Robust algorithms for automated chemical shift calibration of 1D 1H NMR spectra of blood serum","Pearce J.T.M., Athersuch T.J., Ebbels T.M.D., Lindon J.C., Nicholson J.K., Keun H.C.",00032700,"Analytical Chemistry",80, 18,0,0,0,0,1,1
2008,"The carcinoGENOMICS project: Critical selection of model compounds for the development of omics-based in vitro carcinogenicity screening assays","Vinken M., Castell J., Bort R., Donato T., Ryan M., Corvi R., Keun H., Ebbels T., Athersuch T., Sansone S.-A., Rocca-Serra P., Doktorova T., Stierum R., Jennings P., Pfaller W., Gmuender H., Vanhaecke T., Rogiers V., Ellinger-Ziegelbauer H., Ahr H.-J., Lock E., Carmichael P., Roggen E., van Delft J., Kleinjans J.",13835742,"Mutation Research - Reviews in Mutation Research",659, 3,0,0,0,0,1,1
2008,"Human metabolic phenotype diversity and its association with diet and blood pressure","Holmes E., Veselkov K.A., Daviglus M.L., Kesteloot H., Ueshima H., Zhao L., Nicholson J.K., Elliott P., Loo R.L., Stamler J., Bictash M., Yap I.K.S., Chan Q., Ebbels T., De Iorio M., Brown I.J.",00280836,"Nature",453, 7193,0,0,15,15,25,40
2008,"Piecewise multivariate modelling of sequential metabolic profiling data","Rantalainen M., Cloarec O., Ebbels T.M.D., Lundstedt T., Nicholson J.K., Holmes E., Trygg J.",14712105,"BMC Bioinformatics",9, ,0,0,0,0,1,1
2007,"Metabolic profiling, metabolomic and metabonomic procedures for NMR spectroscopy of urine, plasma, serum and tissue extracts.","Beckonert O., Keun H.C., Ebbels T.M., Bundy J., Holmes E., Lindon J.C., Nicholson J.K.",17502799,"Nature protocols",2, 11,0,0,21,21,23,44
2007,"Prediction and classification of drug toxicity using probabilistic modeling of temporal metabolic data: The consortium on metabonomic toxicology screening approach","Ebbels T.M.D., Keun H.C., Beckonert O.P., Bollard M.E., Lindon J.C., Holmes E., Nicholson J.K.",15353893,"Journal of Proteome Research",6, 11,0,1,12,13,8,21
2007,"COMET and the challenge of drug safety screening","Nicholson J., Keun H., Ebbels T.",15353893,"Journal of Proteome Research",6, 11,0,0,0,0,2,2
2007,"Proposed minimum reporting standards for data analysis in metabolomics","Goodacre R., Craig A., Ebbels T., Kell D.B., Manetti C., Newton J., Paternostro G., Somorjai R., Sjostrom M., Trygg J., Wulfert F., Broadhurst D., Smilde A.K., Kristal B.S., Baker J.D., Beger R., Bessant C., Connor S., Capuani G.",15733882,"Metabolomics",3, 3,0,1,8,9,4,13
2006,"springScape: Visualisation of microarray and contextual bioinformatic data using spring embedding and an 'information landscape'","Ebbels T.M.D., Buxton B.F., Jones D.T.",13674803,"Bioinformatics",22, 14,1,1,0,1,2,4
2005,"The Consortium for Metabonomic Toxicology (COMET): Aims, activities and achievements","Lindon J.C., Keun H.C., Ebbels T.M.D., Pearce J.M.T., Holmes E., Nicholson J.K.",14622416,"Pharmacogenomics",6, 7,17,23,17,40,11,68
2005,"Comparative metabonomics of differential hydrazine toxicity in the rat and mouse","Bollard M.E., Lindon J.C., Holmes E., Nicholson J.K., Keun H.C., Beckonert O., Ebbels T.M.D., Antti H., Nicholls A.W., Shockcor J.P., Cantor G.H., Stevens G.",0041008X,"Toxicology and Applied Pharmacology",204, 2,6,18,6,24,11,41
2004,"Evaluation of metabolic variation in normal rat strains from a statistical analysis of 1H NMR spectra of urine","Ebbels T.M.D., Holmes E., Lindon J.C., Nicholson J.K.",07317085,"Journal of Pharmaceutical and Biomedical Analysis",36, 4,5,6,0,6,2,13
2004,"Statistical experimental design and partial least squares regression analysis of biofluid metabonomic NMR and clinical chemistry data for screening of adverse drug effects","Antti H., Ebbels T.M.D., Keun H.C., Bollard M.E., Beckonert O., Lindon J.C., Nicholson J.K., Holmes E.",01697439,"Chemometrics and Intelligent Laboratory Systems",73, 1,7,7,3,10,2,19
2004,"Geometric trajectory analysis of metabolic responses to toxicity can define treatment specific profiles","Keun H.C., Ebbels T.M.D., Bollard M.E., Beckonert O., Antti H., Holmes E., Lindon J.C., Nicholson J.K.",0893228X,"Chemical Research in Toxicology",17, 5,18,14,6,20,6,44
2003,"Spectral editing and pattern recognition methods applied to high-resolution magic-angle spinning 1H nuclear magnetic resonance spectroscopy of liver tissues","Wang Y., Nicholson J.K., Bollard M.E., Keun H., Antti H., Beckonert O., Ebbels T.M., Lindon J.C., Holmes E., Tang H.",00032697,"Analytical Biochemistry",323, 1,20,13,13,26,7,53
2003,"Toxicity classification from metabonomic data using a density superposition approach: 'CLOUDS'","Ebbels T., Keun H., Beckonert O., Antti H., Bollard M., Holmes E., Lindon J., Nicholson J.",00032670,"Analytica Chimica Acta",490, 1-2,23,6,10,16,2,41
2003,"NMR-based metabonomic toxicity classification: Hierarchical cluster analysis and k-nearest-neighbour approaches","Beckonert O., Bollard M.E., Ebbels T.M.D., Keun H.C., Antti H., Holmes E., Lindon J.C., Nicholson J.K.",00032670,"Analytica Chimica Acta",490, 1-2,24,8,7,15,5,44
2003,"Improved analysis of multivariate data by variable stability scaling: Application to NMR-based metabolic profiling","Keun H.C., Ebbels T.M.D., Antti H., Bollard M.E., Beckonert O., Holmes E., Lindon J.C., Nicholson J.K.",00032670,"Analytica Chimica Acta",490, 1-2,20,10,8,18,10,48
2003,"Semiempirical molecular-orbital properties of some polycyclic aromatic hydrocarbons and correlation with environmental toxic equivalency factors","Warne M.A., Ebbels T.M.D., Lindon J.C., Nicholson J.K.",10406638,"Polycyclic Aromatic Compounds",23, 1,2,0,0,0,0,2
2003,"Contemporary issues in toxicology: The role of metabonomics in toxicology and its evaluation by the COMET project","Lindon J.C., Robertson D., Stevens G.J., Luke P., Breau A.P., Cantor G.H., Bible R.H., Niederhauser U., Senn H., Schlotterbeck G., Sidelmann U.G., Nicholson J.K., Laursen S.M., Tymiak A., Car B.D., Lehman-McKeeman L., Colet J.-M., Loukaci A., Thomas C., Holmes E., Antti H., Bollard M.E., Keun H., Beckonert O., Ebbels T.M., Reily M.D.",0041008X,"Toxicology and Applied Pharmacology",187, 3,95,31,22,53,11,159
2002,"Analytical reproducibility in 1H NMR-based metabonomic urinalysis","Keun H.C., Lindon J.C., Nicholson J.K., Ebbels T.M.D., Antti H., Bollard M.E., Beckonert O., Schlotterbeck G., Senn H., Niederhauser U., Holmes E.",0893228X,"Chemical Research in Toxicology",15, 11,44,15,17,32,12,88
2002,"Batch statistical processing of 1H NMR-derived urinary spectral data","Antti H., Bollard M.E., Ebbels T., Keun H., Lindon J.C., Nicholson J.K., Holmes E.",08869383,"Journal of Chemometrics",16, 8-10,28,7,4,11,1,40
2001,"Quantitative investigation of probabilistic spectral processing methods using simulated NMR data","Ebbels T.M.D., Lindon J.C., Nicholson J.K.",00037028,"Applied Spectroscopy",55, 9,2,0,0,0,1,3
1999,"Lensed galaxies in Abell 370 I. Modeling the number counts and redshift distribution of background sources","Bezecourt J., Kneib J.P., Soucail G., Ebbels T.M.D.",00046361,"Astronomy and Astrophysics",347, 1,19,2,1,3,0,22
1999,"Two multiple-imaged z = 4.05 galaxies in the cluster-lens Abell 2390","Pello R., Soucail G., Bridges T.J., Kneib J.P., Le Borgne J.F., Bezecourt J., Ebbels T.M., Tijera L., Bruzual G., Miralles J.M., Smail L.",00046361,"Astronomy and Astrophysics",346, 2,21,1,2,3,0,24
1998,"Spectroscopic confirmation of redshifts predicted by gravitational lensing","Ebbels T., Ellis R., Kneib J.-P., Le Borgne J.-F., Pello R., Smail I., Sanahuja B.",00358711,"Monthly Notices of the Royal Astronomical Society",295, 1,20,1,2,3,0,23
1996,"Identification of a gravitationally lensed z = 2.515 star-forming galaxy","Ebbels T.M.D., Le Borgne J.-F., Pello R., Ellis R.S., Kneib J.-P., Smail I., Sanahuja B.",00358711,"Monthly Notices of the Royal Astronomical Society",281, 4,42,2,0,2,0,44
